id_activite,type_activite,date_activite
1,Import,03032021
2,Import,12032021
3,Import,20032021
4,Import,29032021
5,Import,01032021
6,Import,NULL
7,Import,NULL
8,Import,NULL
9,Import,NULL
10,Import,NULL
13,Import,NULL
14,Import,NULL
15,Import,NULL
226,Import,NULL
227,Import,NULL
229,Import,NULL
413,Import,NULL
414,Import,NULL
416,Import,NULL
417,Import,NULL
431,Import,NULL
432,Import,NULL
433,Import,NULL
434,Import,NULL
435,Import,NULL
437,Import,NULL
438,Import,NULL
439,Import,NULL
440,Import,NULL
441,Import,NULL
442,Import,NULL
443,Import,NULL
444,Import,NULL
445,Import,NULL
446,Import,NULL
448,Import,NULL
449,Import,NULL
450,Import,NULL
451,Import,NULL
453,Import,10032027
454,Import,NULL
455,Import,08042022
460,Import,08042022
464,Import,08042022
1281,Import,08042022
1284,Import,08042022
1285,Import,08042022
1296,Import,08042022
1297,Import,08042022
1600,Import,08042022
1603,Import,08042022
1607,Import,08042022
1608,Import,08042022
1609,Import,08042022
1610,Import,08042022
1619,Import,08042022
1639,Import,16042022
1642,Import,16042022
1658,Import,16042022
1659,Import,16042022
1661,Import,16042022
1674,Import,07052023
2071,Import,10022021
2078,Import,10022021
2084,Import,10022021
2442,Import,10022021
2454,Import,10022021
2463,Import,10022021
2464,Import,10022021
2465,Import,10022021
2466,Import,10022021
2501,Import,10022021
2518,Import,18022021
2519,Import,18022021
2520,Import,18022021
2522,Import,18022021
2523,Import,18022021
2524,Import,18022021
2526,Import,18022021
2527,Import,18022021
2529,Import,18022021
2530,Import,18022021
2531,Import,18022021
2533,Import,18022021
2534,Import,18022021
2535,Import,18022021
3848,Import,10022021
3851,Import,10022021
3861,Import,10022021
3863,Import,10022021
3871,Import,10022021
5287,Import,10032027
5381,Import,08042022
5385,Import,08042022
5395,Import,08042022
5396,Import,08042022
5397,Import,08042022
5402,Import,08042022
5404,Import,08042022
5410,Import,08042022
5419,Import,16042022
5420,Import,16042022
5421,Import,10032027
5424,Import,16042022
5428,Import,16042022
5429,Import,16042022
5430,Import,16042022
5438,Import,16042022
5439,Import,16042022
5440,Import,16042022
5441,Import,16042022
6259,Import,10022021
6260,Import,10022021
6274,Import,18022021
6275,Import,18022021
6276,Import,18022021
6277,Import,18022021
6278,Import,18022021
6279,Import,18022021
6280,Import,18022021
6281,Import,18022021
6284,Import,18022021
6285,Import,18022021
6286,Import,18022021
6287,Import,18022021
6289,Import,18022021
6290,Import,18022021
7534,Import,10022021
7546,Import,10022021
7547,Import,10022021
7561,Import,10022021
7597,Import,NULL
7598,Import,10032027
7599,Import,10032027
7600,Import,10032027
7601,Import,10032027
7603,Import,10032027
7606,Import,NULL
7607,Import,NULL
7608,Import,NULL
7609,Import,NULL
7610,Import,NULL
7611,Import,10032027
7612,Import,NULL
7613,Import,NULL
8000,Import,NULL
8006,Import,NULL
8007,Import,NULL
8011,Import,NULL
8025,Import,NULL
8026,Import,NULL
8028,Import,NULL
8029,Import,NULL
8030,Import,NULL
8031,Import,NULL
8032,Import,NULL
8033,Import,NULL
8035,Import,NULL
8036,Import,NULL
8037,Import,NULL
8039,Import,10032027
8040,Import,NULL
8041,Import,08042022
8446,Import,08042022
8480,Import,10022021
8489,Import,10032027
8503,Import,10022021
8504,Import,10022021
8530,Import,10022021
10190,Import,NULL
10469,Import,NULL
10473,Import,10032027
10474,Import,10032027
10475,Import,10032027
13660,Import,16052001
13663,Import,16052001
13668,Import,16052001
15335,Import,16052001
19960,Import,21112025
55393,Import,NULL
55395,Import,NULL
79493,Import,20032030
79707,Import,20032030
79711,Import,20032030
80104,Import,10022021
80119,Import,18022021
80121,Import,18022021
80122,Import,18022021
80123,Import,18022021
