id_objet,id_activite
5002E002637,1
5002E002638,2
5002E002641,3
5002E002645,4
5002E002652,5
5002E002668,6
5002E002677,7
5002E002695,8
5002E002292,9
5002E002295,10
5002E002309,13
5002E002312,14
5002E002319,15
5002E011013,226
5002E010028,227
5002E010037,229
5002E002606,413
5002E002608,414
5002E002614,416
5002E002623,417
5002E002199,431
5002E002201,432
5002E002205,433
5002E002209,434
5002E002210,435
5002E002215,437
5002E002219,438
5002E002222,439
5002E002226,440
5002E002236,441
5002E002238,442
5002E002242,443
5002E002245,444
5002E002250,445
5002E002252,446
5002E002260,448
5002E002264,449
5002E002267,450
5002E002272,451
5002E002275,453
5002E002278,454
5002E002702,455
5002E002750,460
5002E002758,464
5002E002805,1281
5002E002823,1284
5002E002826,1285
5002E002889,1296
5002E002893,1297
5002E002904,1600
5002E002911,1603
5002E002924,1607
5002E002927,1608
5002E002934,1609
5002E002940,1610
5002E002968,1619
5002E003058,1639
5002E003075,1642
5002E003125,1658
5002E003126,1659
5002E003133,1661
5002E003209,1674
5002E001399,2071
5002E001425,2078
5002E001440,2084
5002E001538,2442
5002E001609,2454
5002E001640,2463
5002E001646,2464
5002E001656,2465
5002E001657,2466
5002E001087,2501
5002E001270,2518
5002E001311,2519
5002E001351,2520
5002E001382,2522
5002E001476,2523
5002E001481,2524
5002E001521,2526
5002E001563,2527
5002E001570,2529
5002E001572,2530
5002E001745,2531
5002E001889,2533
5002E001906,2534
5002E001910,2535
5002E001815,3848
5002E001825,3851
5002E001877,3861
5002E001881,3863
5002E001930,3871
5002E002634,5287
5002E002820,5381
5002E002857,5385
5002E002891,5395
5002E002895,5396
5002E002896,5397
5002E002920,5402
5002E002935,5404
5002E002979,5410
5002E003020,5419
5002E003022,5420
5002E003026,5421
5002E003045,5424
5002E003074,5428
5002E003076,5429
5002E003077,5430
5002E003110,5438
5002E003131,5439
5002E003132,5440
5002E003135,5441
5002E001084,6259
5002E001086,6260
5002E001241,6274
5002E001367,6275
5002E001381,6276
5002E001413,6277
5002E001477,6278
5002E001478,6279
5002E001480,6280
5002E001482,6281
5002E001565,6284
5002E001569,6285
5002E001891,6286
5002E001907,6287
5002E001937,6289
5002E001982,6290
5002E001826,7534
5002E001882,7546
5002E001883,7547
5002E001974,7561
5002E002680,7597
5002E002681,7598
5002E002684,7599
5002E002686,7600
5002E002687,7601
5002E002693,7603
5002E002285,7606
5002E002286,7607
5002E002289,7608
5002E002297,7609
5002E002299,7610
5002E002301,7611
5002E002307,7612
5002E002314,7613
5002E002554,8000
5002E002598,8006
5002E002601,8007
5002E002622,8011
5002E002200,8025
5002E002202,8026
5002E002208,8028
5002E002211,8029
5002E002216,8030
5002E002221,8031
5002E002228,8032
5002E002232,8033
5002E002244,8035
5002E002246,8036
5002E002253,8037
5002E002269,8039
5002E002277,8040
5002E002709,8041
5002E002735,8446
5002E001442,8480
5002E001508,8489
5002E001602,8503
5002E001610,8504
5002E001743,8530
5002E002635,10190
5002E002661,10469
5002E002673,10473
5002E002674,10474
5002E002675,10475
M0537000484,13660
M0537000497,13663
M0537000511,13668
M0537000642,15335
5002E004910,19960
5002E011012,55393
5002E010023,55395
M0537000163,79493
M0537000223,79707
M0537000232,79711
5002E001089,80104
5002E001242,80119
5002E001268,80121
5002E001379,80122
5002E001380,80123
5002E001384,80124
5002E001487,80126
5002E001523,80127
5002E001525,80128
5002E001527,80129
5002E001944,80131
5002E001991,80132
5002E001993,80133
5002E002679,81814
5002E002683,81815
5002E002688,81816
5002E002281,81817
5002E002287,81818
