id_personne,nom_artiste,libelle_metier,note_artiste
1,Thiebault JeanBaptiste,graveur,graveur
2,Lacour Jacques Stanislas Prosper Hubert,imprimeur,"imprimeur, libraire, éditeur"
2,Lacour Jacques Stanislas Prosper Hubert,libraire,"imprimeur, libraire, éditeur"
3,Lacour Jacques Stanislas Prosper Hubert,éditeur,"imprimeur, libraire, éditeur"
2,Lacour Jacques Stanislas Prosper Hubert,imprimeur,"imprimeur, libraire, éditeur"
4,Lacour Jacques Stanislas Prosper Hubert,libraire,"imprimeur, libraire, éditeur"
5,Lacour Jacques Stanislas Prosper Hubert,éditeur,"imprimeur, libraire, éditeur"
5,Thiébault JeanBaptiste,graveur,graveur
6,Lacour Jacques Stanislas Prosper Hubert,imprimeur,"imprimeur, libraire, éditeur"
6,Lacour Jacques Stanislas Prosper Hubert,libraire,"imprimeur, libraire, éditeur"
6,Lacour Jacques Stanislas Prosper Hubert,éditeur,"imprimeur, libraire, éditeur"
7,Lacour Jacques Stanislas Prosper Hubert,éditeur,"imprimeur, libraire, éditeur"
7,Dubuc P,,
8,Letourmy JeanBaptiste,éditeur,éditeur
9,Letourmy JeanBaptiste,éditeur,éditeur
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
8,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,imprimeur,"imprimeur, libraire, éditeur"
9,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
8,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
1,Abadie Cadet Louis,libraire,"imprimeur, libraire, éditeur"
8,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
2,Abadie Cadet Louis,éditeur,"imprimeur, libraire, éditeur"
2,Dubuc P,graveur,graveur
3,Georgin François,graveur,graveur
2,Pellerin,imprimeur,"éditeur, imprimeur"
2,Pellerin,éditeur,"éditeur, imprimeur"
3,Pellerin,éditeur,"éditeur, imprimeur"
3,Pellerin,imprimeur,"éditeur, imprimeur"
2,Pellerin,éditeur,"éditeur, imprimeur"
3,Georgin François,graveur,graveur
8,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
8,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
8,Pellerin,imprimeur,"éditeur, imprimeur"
9,Pellerin,éditeur,"éditeur, imprimeur"
9,Georgin François,graveur,graveur
9,Thiebault JeanBaptiste,graveur,graveur
9,Georgin François,graveur,graveur
9,Lacour Jacques Stanislas Prosper Hubert,imprimeur,"imprimeur, libraire, éditeur"
